From	Entry	Entry Name	Protein names	Gene Names	Reviewed
8565	A0A0S2Z4R1	A0A0S2Z4R1_HUMAN	Tyrosine--tRNA ligase (EC 6.1.1.1) (Tyrosyl-tRNA synthetase)	YARS	unreviewed
64766	Q96BU1	S1PBP_HUMAN	S100P-binding protein (S100P-binding protein Riken)	S100PBP S100PBPR	reviewed
64766	A0A0S2Z5M0	A0A0S2Z5M0_HUMAN	S100P-binding protein	S100PBP	unreviewed
252995	Q8NAU1	FNDC5_HUMAN	Fibronectin type III domain-containing protein 5 (Fibronectin type III repeat-containing protein 2) [Cleaved into: Irisin]	FNDC5 FRCP2	reviewed
252995	A0A0A0MRR6	A0A0A0MRR6_HUMAN	Fibronectin type III domain containing 5	FNDC5	unreviewed
3208	P84074	HPCA_HUMAN	Neuron-specific calcium-binding protein hippocalcin (Calcium-binding protein BDR-2)	HPCA BDR2	reviewed
113452	Q969K7	TMM54_HUMAN	Transmembrane protein 54 (Beta-casein-like protein) (Protein CAC-1)	TMEM54 BCLP CAC1	reviewed
127544	Q6ZMZ0	RN19B_HUMAN	E3 ubiquitin-protein ligase RNF19B (EC 2.3.2.31) (IBR domain-containing protein 3) (Natural killer lytic-associated molecule) (RING finger protein 19B)	RNF19B IBRDC3 NKLAM	reviewed
204	P54819	KAD2_HUMAN	Adenylate kinase 2, mitochondrial (AK 2) (EC 2.7.4.3) (ATP-AMP transphosphorylase 2) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase) [Cleaved into: Adenylate kinase 2, mitochondrial, N-terminally processed]	AK2 ADK2	reviewed
204	A0A140VK93	A0A140VK93_HUMAN	Adenylate kinase 2, mitochondrial (AK 2) (EC 2.7.4.3) (ATP-AMP transphosphorylase 2) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase)	AK2	unreviewed
204	F8VY04	F8VY04_HUMAN	Adenylate kinase 3	AK2	unreviewed
204	F8W1A4	F8W1A4_HUMAN	Adenylate kinase 2, mitochondrial (AK 2) (EC 2.7.4.3) (ATP-AMP transphosphorylase 2) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase)	AK2	unreviewed
204	G3V213	G3V213_HUMAN	Adenylate kinase 2	AK2 hCG_2032090	unreviewed
113451	Q96A70	AZIN2_HUMAN	Antizyme inhibitor 2 (AzI2) (Arginine decarboxylase) (ADC) (ARGDC) (Ornithine decarboxylase-like protein) (ODC-like protein) (ornithine decarboxylase paralog) (ODC-p)	AZIN2 ADC KIAA1945 ODCP	reviewed
55223	Q9BVG3	TRI62_HUMAN	E3 ubiquitin-protein ligase TRIM62 (EC 2.3.2.27) (Tripartite motif-containing protein 62)	TRIM62	reviewed
149076	Q5T0B9	ZN362_HUMAN	Zinc finger protein 362	ZNF362 PP6997	reviewed
127550	U3KPV4	A3LT2_HUMAN	Alpha-1,3-galactosyltransferase 2 (EC 2.4.1.87) (Isoglobotriaosylceramide synthase) (iGb3 synthase) (iGb3S)	A3GALT2 A3GALT2P IGBS3S	reviewed
1912	Q8IXK0	PHC2_HUMAN	Polyhomeotic-like protein 2 (hPH2) (Early development regulatory protein 2)	PHC2 EDR2 PH2	reviewed
1912	A0A0A0MSI2	A0A0A0MSI2_HUMAN	Polyhomeotic homolog 2	PHC2	unreviewed
1912	A0A994J5J9	A0A994J5J9_HUMAN	Polyhomeotic homolog 2	PHC2	unreviewed
7579	P17040	ZSC20_HUMAN	Zinc finger and SCAN domain-containing protein 20 (Zinc finger protein 31) (Zinc finger protein 360) (Zinc finger protein KOX29)	ZSCAN20 KOX29 ZNF31 ZNF360	reviewed
114784	Q7Z408	CSMD2_HUMAN	CUB and sushi domain-containing protein 2 (CUB and sushi multiple domains protein 2)	CSMD2 KIAA1884	reviewed
127540	Q8WW32	HMGB4_HUMAN	High mobility group protein B4	HMGB4	reviewed
84970	Q6P1W5	CA094_HUMAN	Uncharacterized protein C1orf94	C1orf94	reviewed
113444	Q96EX1	SIM12_HUMAN	Small integral membrane protein 12	SMIM12 C1orf212	reviewed
113444	L0R6D7	L0R6D7_HUMAN	Small integral membrane protein 12	C1orf212	unreviewed
2709	O95377	CXB5_HUMAN	Gap junction beta-5 protein (Connexin-31.1) (Cx31.1)	GJB5	reviewed
2709	A0A654IE64	A0A654IE64_HUMAN	Gap junction protein	CXNA GJB5 hCG_1783753	unreviewed
127534	Q9NTQ9	CXB4_HUMAN	Gap junction beta-4 protein (Connexin-30.3) (Cx30.3)	GJB4	reviewed
2707	O75712	CXB3_HUMAN	Gap junction beta-3 protein (Connexin-31) (Cx31)	GJB3 CX31	reviewed
2701	P35212	CXA4_HUMAN	Gap junction alpha-4 protein (Connexin-37) (Cx37)	GJA4	reviewed
58512	O95886	DLGP3_HUMAN	Disks large-associated protein 3 (DAP-3) (PSD-95/SAP90-binding protein 3) (SAP90/PSD-95-associated protein 3) (SAPAP3)	DLGAP3 DAP3	reviewed
100506144	Q8NCS4	TM35B_HUMAN	Transmembrane protein 35B (ZMYM6 neighbor protein)	TMEM35B ZMYM6NB	reviewed
9204	O95789	ZMYM6_HUMAN	Zinc finger MYM-type protein 6 (Transposon-derived Buster2 transposase-like protein) (Zinc finger protein 258)	ZMYM6 Buster2 KIAA1353 ZNF258	reviewed
79830	Q5SVZ6	ZMYM1_HUMAN	Zinc finger MYM-type protein 1	ZMYM1	reviewed
79830	A0A1B0GXA6	A0A1B0GXA6_HUMAN	cDNA FLJ43753 fis, clone TESTI2040018, highly similar to Zinc finger MYM-type protein 1		unreviewed
79830	B4DSJ9	B4DSJ9_HUMAN	cDNA FLJ57000, highly similar to Zinc finger MYM-type protein 1		unreviewed
79830	Q9H5R2	Q9H5R2_HUMAN	cDNA: FLJ23151 fis, clone LNG09417		unreviewed
6421	P23246	SFPQ_HUMAN	Splicing factor, proline- and glutamine-rich (100 kDa DNA-pairing protein) (hPOMp100) (DNA-binding p52/p100 complex, 100 kDa subunit) (Polypyrimidine tract-binding protein-associated-splicing factor) (PSF) (PTB-associated-splicing factor)	SFPQ PSF	reviewed
6421	A0A384N5Z8	A0A384N5Z8_HUMAN	Epididymis secretory sperm binding protein		unreviewed
6421	Q86VG2	Q86VG2_HUMAN	Splicing factor proline/glutamine-rich (Polypyrimidine tract binding protein associated)	SFPQ	unreviewed
9202	Q5VZL5	ZMYM4_HUMAN	Zinc finger MYM-type protein 4 (Zinc finger protein 262)	ZMYM4 KIAA0425 ZNF262	reviewed
79932	Q8IZA0	K319L_HUMAN	Dyslexia-associated protein KIAA0319-like protein (Adeno-associated virus receptor) (AAVR)	KIAA0319L AAVR KIAA1837 PP791	reviewed
79932	A0A8V8TKL4	A0A8V8TKL4_HUMAN	KIAA0319 like	KIAA0319L	unreviewed
79932	A0A8V8TKX7	A0A8V8TKX7_HUMAN	KIAA0319 like	KIAA0319L	unreviewed
23154	Q9UBB6	NCDN_HUMAN	Neurochondrin	NCDN KIAA0607	reviewed
339488	Q6VUC0	AP2E_HUMAN	Transcription factor AP-2-epsilon (AP2-epsilon) (Activating enhancer-binding protein 2-epsilon)	TFAP2E	reviewed
5690	P49721	PSB2_HUMAN	Proteasome subunit beta type-2 (Macropain subunit C7-I) (Multicatalytic endopeptidase complex subunit C7-I) (Proteasome component C7-I) (Proteasome subunit beta-4) (beta-4)	PSMB2	reviewed
5690	A0A087WVV1	A0A087WVV1_HUMAN	Proteasome 20S subunit beta 2	PSMB2	unreviewed
5690	A0A140VJS6	A0A140VJS6_HUMAN	Proteasome subunit beta		unreviewed
5690	B7Z478	B7Z478_HUMAN	Proteasome subunit beta	PSMB2 hCG_1812781	unreviewed
127703	Q8TAB5	CA216_HUMAN	UPF0500 protein C1orf216	C1orf216	reviewed
63967	Q9HAW4	CLSPN_HUMAN	Claspin (hClaspin)	CLSPN	reviewed
192670	Q9HCK5	AGO4_HUMAN	Protein argonaute-4 (Argonaute4) (hAgo4) (Argonaute RISC catalytic component 4) (Eukaryotic translation initiation factor 2C 4) (eIF-2C 4) (eIF2C 4)	AGO4 EIF2C4 KIAA1567	reviewed
26523	Q9UL18	AGO1_HUMAN	Protein argonaute-1 (Argonaute1) (hAgo1) (Argonaute RISC catalytic component 1) (Eukaryotic translation initiation factor 2C 1) (eIF-2C 1) (eIF2C 1) (Putative RNA-binding protein Q99)	AGO1 EIF2C1	reviewed
26523	A0A6I8PTZ8	A0A6I8PTZ8_HUMAN	Protein argonaute-1	AGO1	unreviewed
26523	B2RAD8	B2RAD8_HUMAN	Protein argonaute-1		unreviewed
26523	B3KME0	B3KME0_HUMAN	Protein argonaute-1		unreviewed
26523	Q5TA58	Q5TA58_HUMAN	Protein argonaute-1	AGO1	unreviewed
192669	Q9H9G7	AGO3_HUMAN	Protein argonaute-3 (Argonaute3) (hAgo3) (EC 3.1.26.n2) (Argonaute RISC catalytic component 3) (Eukaryotic translation initiation factor 2C 3) (eIF-2C 3) (eIF2C 3)	AGO3 EIF2C3	reviewed
192669	B4E1P5	B4E1P5_HUMAN	Protein argonaute-1		unreviewed
27285	Q9UIF3	TEKT2_HUMAN	Tektin-2 (Tektin-t) (Testicular tektin) (Testicular tektin B1-like protein) (TEKTB1) (Tektin-B1)	TEKT2	reviewed
54936	Q9NX46	ADPRS_HUMAN	ADP-ribosylhydrolase ARH3 (ADP-ribose glycohydrolase ARH3) (ADP-ribosylhydrolase 3) (O-acetyl-ADP-ribose deacetylase ARH3) (EC 3.5.1.-) (Poly(ADP-ribose) glycohydrolase ARH3) (EC 3.2.1.143) ([Protein ADP-ribosylarginine] hydrolase-like protein 2) ([Protein ADP-ribosylserine] hydrolase) (EC 3.2.2.-)	ADPRS ADPRHL2 ARH3	reviewed
54936	B7ZAN4	B7ZAN4_HUMAN	ADP-ribosylhydrolase ARH3 (EC 3.2.1.143) (ADP-ribose glycohydrolase ARH3) (ADP-ribosylhydrolase 3) (O-acetyl-ADP-ribose deacetylase ARH3) (Poly(ADP-ribose) glycohydrolase ARH3) ([Protein ADP-ribosylarginine] hydrolase-like protein 2) ([Protein ADP-ribosylserine] hydrolase)	ADPRHL2 hCG_38289	unreviewed
1296	P25067	CO8A2_HUMAN	Collagen alpha-2(VIII) chain (Endothelial collagen)	COL8A2	reviewed
1296	E9PP49	E9PP49_HUMAN	Collagen type VIII alpha 2	COL8A2	unreviewed
27095	O43617	TPPC3_HUMAN	Trafficking protein particle complex subunit 3 (BET3 homolog)	TRAPPC3 BET3 CDABP0066	reviewed
27095	A0A087WWM0	A0A087WWM0_HUMAN	Trafficking protein particle complex subunit	TRAPPC3	unreviewed
27095	A0A087WYS5	A0A087WYS5_HUMAN	Trafficking protein particle complex subunit 3	TRAPPC3	unreviewed
55700	Q3KQU3	MA7D1_HUMAN	MAP7 domain-containing protein 1 (Arginine/proline-rich coiled-coil domain-containing protein 1) (Proline/arginine-rich coiled-coil domain-containing protein 1)	MAP7D1 KIAA1187 PARCC1 RPRC1 PP2464	reviewed
55700	B3KU03	B3KU03_HUMAN	cDNA FLJ39022 fis, clone NT2RP7003724, weakly similar to Serine/arginine repetitive matrix protein 1		unreviewed
55700	D3DPS3	D3DPS3_HUMAN	Arginine/proline rich coiled-coil 1, isoform CRA_b (MAP7 domain containing 1)	MAP7D1 RPRC1 hCG_38280	unreviewed
9967	Q9Y2W1	TR150_HUMAN	Thyroid hormone receptor-associated protein 3 (BCLAF1 and THRAP3 family member 2) (Thyroid hormone receptor-associated protein complex 150 kDa component) (Trap150)	THRAP3 BCLAF2 TRAP150	reviewed
83931	Q8N2I9	STK40_HUMAN	Serine/threonine-protein kinase 40 (EC 2.7.11.1) (SINK-homologous serine/threonine-protein kinase) (Sugen kinase 495) (SgK495)	STK40 SGK495 SHIK	reviewed
84967	Q969L4	LSM10_HUMAN	U7 snRNA-associated Sm-like protein LSm10	LSM10	reviewed
127700	Q8WVF1	OSCP1_HUMAN	Protein OSCP1 (hOSCP1) (Organic solute transport protein 1) (Oxidored-nitro domain-containing protein 1)	OSCP1 C1orf102 NOR1	reviewed
64960	P82914	RT15_HUMAN	Small ribosomal subunit protein uS15m (28S ribosomal protein S15, mitochondrial) (MRP-S15) (S15mt)	MRPS15 RPMS15 DC37	reviewed
1441	Q99062	CSF3R_HUMAN	Granulocyte colony-stimulating factor receptor (G-CSF receptor) (G-CSF-R) (CD antigen CD114)	CSF3R GCSFR	reviewed
2899	Q13003	GRIK3_HUMAN	Glutamate receptor ionotropic, kainate 3 (GluK3) (Excitatory amino acid receptor 5) (EAA5) (Glutamate receptor 7) (GluR-7) (GluR7)	GRIK3 GLUR7	reviewed
80149	Q5D1E8	ZC12A_HUMAN	Endoribonuclease ZC3H12A (EC 3.1.-.-) (Monocyte chemotactic protein-induced protein 1) (MCP-induced protein 1) (MCPIP-1) (Regnase-1) (Reg1) (Zinc finger CCCH domain-containing protein 12A)	ZC3H12A MCPIP MCPIP1	reviewed
80149	A0A1W2PQC8	A0A1W2PQC8_HUMAN	Zinc finger CCCH-type containing 12A	ZC3H12A	unreviewed
64769	Q9HAF1	EAF6_HUMAN	Chromatin modification-related protein MEAF6 (MYST/Esa1-associated factor 6) (Esa1-associated factor 6 homolog) (Protein EAF6 homolog) (hEAF6) (Sarcoma antigen NY-SAR-91)	MEAF6 C1orf149 CENP-28 EAF6	reviewed
79753	Q8TAD8	SNIP1_HUMAN	Smad nuclear-interacting protein 1 (FHA domain-containing protein SNIP1)	SNIP1	reviewed
79753	B1AK66	B1AK66_HUMAN	Smad nuclear interacting protein 1 (cDNA, FLJ96650, Homo sapiens Smad nuclear interacting protein (SNIP1), mRNA)	SNIP1 hCG_25684	unreviewed
7802	O14645	IDLC_HUMAN	Axonemal dynein light intermediate polypeptide 1 (Inner dynein arm light chain, axonemal) (hp28)	DNALI1	reviewed
7802	A0A499FIY3	A0A499FIY3_HUMAN	Axonemal dynein light intermediate polypeptide 1 (Inner dynein arm light chain, axonemal)	DNALI1	unreviewed
29889	Q13823	NOG2_HUMAN	Nucleolar GTP-binding protein 2 (Autoantigen NGP-1)	GNL2 NGP1	reviewed
29889	Q5T0F3	Q5T0F3_HUMAN	Nucleolar GTP-binding protein 2	GNL2 hCG_25676	unreviewed
54955	Q9NX04	AIRIM_HUMAN	AFG2-interacting ribosome maturation factor (Ribosome biogenesis protein C1orf109)	AIRIM C1orf109	reviewed
54955	B4DRQ5	B4DRQ5_HUMAN	cDNA FLJ55172		unreviewed
54955	B7Z9X8	B7Z9X8_HUMAN	cDNA, FLJ78992		unreviewed
55143	Q53HL2	BOREA_HUMAN	Borealin (Cell division cycle-associated protein 8) (Dasra-B) (hDasra-B) (Pluripotent embryonic stem cell-related gene 3 protein)	CDCA8 PESCRG3	reviewed
284656	Q5JZY3	EPHAA_HUMAN	Ephrin type-A receptor 10 (EC 2.7.10.1)	EPHA10	reviewed
284656	Q4G0R4	Q4G0R4_HUMAN	EPHA10 protein	EPHA10	unreviewed
284656	Q8N289	Q8N289_HUMAN	receptor protein-tyrosine kinase (EC 2.7.10.1)		unreviewed
149175	Q5VSG8	MANEL_HUMAN	Glycoprotein endo-alpha-1,2-mannosidase-like protein (EC 3.2.1.-)	MANEAL	reviewed
79693	Q86U90	YRDC_HUMAN	Threonylcarbamoyl-AMP synthase (EC 2.7.7.87) (Dopamine receptor-interacting protein 3) (Ischemia/reperfusion-inducible protein homolog) (hIRIP)	YRDC DRIP3 IRIP	reviewed
127687	Q6ZSJ8	CA122_HUMAN	Uncharacterized protein C1orf122 (Protein ALAESM)	C1orf122	reviewed
4520	Q14872	MTF1_HUMAN	Metal regulatory transcription factor 1 (MRE-binding transcription factor) (Transcription factor MTF-1)	MTF1	reviewed
3633	P32019	I5P2_HUMAN	Type II inositol 1,4,5-trisphosphate 5-phosphatase (EC 3.1.3.36) (75 kDa inositol polyphosphate-5-phosphatase) (Phosphoinositide 5-phosphatase) (5PTase)	INPP5B OCRL2	reviewed
3633	B3KMW4	B3KMW4_HUMAN	phosphoinositide 5-phosphatase (EC 3.1.3.36)		unreviewed
10946	Q12874	SF3A3_HUMAN	Splicing factor 3A subunit 3 (SF3a60) (Spliceosome-associated protein 61) (SAP 61)	SF3A3 SAP61	reviewed
10946	B4DW90	B4DW90_HUMAN	cDNA FLJ58737, highly similar to Splicing factor 3A subunit 3		unreviewed
2275	Q13643	FHL3_HUMAN	Four and a half LIM domains protein 3 (FHL-3) (Skeletal muscle LIM-protein 2) (SLIM-2)	FHL3 SLIM2	reviewed
2275	Q96C98	Q96C98_HUMAN	FHL3 protein	FHL3	unreviewed
51118	Q9Y3A2	UTP11_HUMAN	Probable U3 small nucleolar RNA-associated protein 11 (U3 snoRNA-associated protein 11) (UTP11-like protein)	UTP11 UTP11L CGI-94 HDCMB12P	reviewed
5453	Q03052	PO3F1_HUMAN	POU domain, class 3, transcription factor 1 (Octamer-binding protein 6) (Oct-6) (Octamer-binding transcription factor 6) (OTF-6) (POU domain transcription factor SCIP)	POU3F1 OCT6 OTF6	reviewed
64121	Q9HB90	RRAGC_HUMAN	Ras-related GTP-binding protein C (Rag C) (RagC) (EC 3.6.5.-) (GTPase-interacting protein 2) (TIB929)	RRAGC	reviewed
64121	B4DQ03	B4DQ03_HUMAN	Ras-related GTP-binding protein		unreviewed
64121	B4DQG4	B4DQG4_HUMAN	Ras-related GTP-binding protein		unreviewed
26292	Q99417	MYCBP_HUMAN	c-Myc-binding protein (Associate of Myc 1) (AMY-1)	MYCBP AMY1	reviewed
81025	P57773	CXA9_HUMAN	Gap junction alpha-9 protein (Connexin-58) (Cx58) (Connexin-59) (Cx59) (Gap junction alpha-10 protein)	GJA9 GJA10	reviewed
54933	Q9NX52	RHBL2_HUMAN	Rhomboid-related protein 2 (RRP2) (EC 3.4.21.105) (Rhomboid-like protein 2) [Cleaved into: Rhomboid-related protein 2, N-terminal fragment (NTF); Rhomboid-related protein 2, C-terminal fragment (CTF)]	RHBDL2	reviewed
54933	B7Z1Y9	B7Z1Y9_HUMAN	Rhomboid-related protein 2 (EC 3.4.21.105)		unreviewed
79647	Q9H9L7	AKIR1_HUMAN	Akirin-1	AKIRIN1 C1orf108	reviewed
4725	O43920	NDUS5_HUMAN	NADH dehydrogenase [ubiquinone] iron-sulfur protein 5 (Complex I-15 kDa) (CI-15 kDa) (NADH-ubiquinone oxidoreductase 15 kDa subunit)	NDUFS5	reviewed
4725	Q6IBA0	Q6IBA0_HUMAN	NADH dehydrogenase [ubiquinone] iron-sulfur protein 5 (Complex I-15 kDa) (NADH-ubiquinone oxidoreductase 15 kDa subunit)	NDUFS5 hCG_1782706	unreviewed
23499	O94854	K0754_HUMAN	Microtubule-actin cross-linking factor 1, isoforms 6/7 (Uncharacterized protein KIAA0754)	MACF1 KIAA0754	reviewed
23499	Q9UPN3	MACF1_HUMAN	Microtubule-actin cross-linking factor 1, isoforms 1/2/3/4/5 (620 kDa actin-binding protein) (ABP620) (Actin cross-linking family protein 7) (Macrophin-1) (Trabeculin-alpha)	MACF1 ABP620 ACF7 KIAA0465 KIAA0754 KIAA1251	reviewed
23499	H3BPE1	H3BPE1_HUMAN	Microtubule actin crosslinking factor 1	MACF1	unreviewed
23499	Q6ZSD7	Q6ZSD7_HUMAN	cDNA FLJ45612 fis, clone BRTHA3025073, highly similar to Actin cross-linking family protein 7		unreviewed
353500	Q7Z5Y6	BMP8A_HUMAN	Bone morphogenetic protein 8A (BMP-8A)	BMP8A	reviewed
8761	Q13310	PABP4_HUMAN	Polyadenylate-binding protein 4 (PABP-4) (Poly(A)-binding protein 4) (Activated-platelet protein 1) (APP-1) (Inducible poly(A)-binding protein) (iPABP)	PABPC4 APP1 PABP4	reviewed
26508	Q9NQ87	HEYL_HUMAN	Hairy/enhancer-of-split related with YRPW motif-like protein (hHeyL) (Class B basic helix-loop-helix protein 33) (bHLHb33) (Hairy-related transcription factor 3) (HRT-3) (hHRT3)	HEYL BHLHB33 HRT3	reviewed
26508	B4DU20	B4DU20_HUMAN	cDNA FLJ52278, highly similar to Homo sapiens hairy/enhancer-of-split related with YRPW motif-like (HEYL), mRNA		unreviewed
84618	Q9BXI3	5NT1A_HUMAN	Cytosolic 5'-nucleotidase 1A (cN1A) (EC 3.1.3.5) (EC 3.1.3.89) (EC 3.1.3.99) (5'-deoxynucleotidase) (Cytosolic 5'-nucleotidase IA) (cN-I) (cN-IA)	NT5C1A	reviewed
51440	Q9UM19	HPCL4_HUMAN	Hippocalcin-like protein 4 (HLP4)	HPCAL4	reviewed
51440	B4DGW9	B4DGW9_HUMAN	Hippocalcin-like protein 4	HPCAL4	unreviewed
10450	Q9UNP9	PPIE_HUMAN	Peptidyl-prolyl cis-trans isomerase E (PPIase E) (EC 5.2.1.8) (Cyclophilin E) (Cyclophilin-33) (Rotamase E)	PPIE CYP33	reviewed
10450	E9PK21	E9PK21_HUMAN	Peptidylprolyl isomerase E	PPIE	unreviewed
656	P34820	BMP8B_HUMAN	Bone morphogenetic protein 8B (BMP-8) (BMP-8B) (Osteogenic protein 2) (OP-2)	BMP8B BMP8	reviewed
54802	Q9H3H1	MOD5_HUMAN	tRNA dimethylallyltransferase (EC 2.5.1.75) (Isopentenyl-diphosphate:tRNA isopentenyltransferase) (IPP transferase) (IPPT) (hGRO1) (tRNA isopentenyltransferase 1) (IPTase)	TRIT1 IPT MOD5	reviewed
54802	Q3T7C7	Q3T7C7_HUMAN	tRNA dimethylallyltransferase (EC 2.5.1.75) (Isopentenyl-diphosphate:tRNA isopentenyltransferase)	TRIT1	unreviewed
54802	Q53F11	Q53F11_HUMAN	tRNA dimethylallyltransferase (EC 2.5.1.75) (Isopentenyl-diphosphate:tRNA isopentenyltransferase)		unreviewed
4610	P12524	MYCL_HUMAN	Protein L-Myc (Class E basic helix-loop-helix protein 38) (bHLHe38) (Protein L-Myc-1) (V-myc myelocytomatosis viral oncogene homolog)	MYCL BHLHE38 LMYC MYCL1	reviewed
84879	Q8NA29	NLS1_HUMAN	Sodium-dependent lysophosphatidylcholine symporter 1 (NLS1) (Sodium-dependent LPC symporter 1) (Major facilitator superfamily domain-containing protein 2A) (HsMFSD2A) (MFSD2a)	MFSD2A MFSD2 NLS1 HMFN0656 PP9177 UNQ300/PRO341	reviewed
84879	B4DNN7	B4DNN7_HUMAN	Sodium-dependent lysophosphatidylcholine symporter 1 (Major facilitator superfamily domain-containing protein 2A)		unreviewed
84879	E7EPI8	E7EPI8_HUMAN	MFSD2 lysolipid transporter A, lysophospholipid	MFSD2A	unreviewed
84879	Q71RE4	Q71RE4_HUMAN	FP1147 (PP10484)		unreviewed
10487	Q01518	CAP1_HUMAN	Adenylyl cyclase-associated protein 1 (CAP 1)	CAP1 CAP	reviewed
10487	D3DPU2	D3DPU2_HUMAN	Adenylyl cyclase-associated protein	CAP1 hCG_2033246	unreviewed
5538	P50897	PPT1_HUMAN	Palmitoyl-protein thioesterase 1 (PPT-1) (EC 3.1.2.2) (EC 3.1.2.22) (Palmitoyl-protein hydrolase 1)	PPT1 CLN1 PPT	reviewed
5538	Q5T0S4	Q5T0S4_HUMAN	Palmitoyl-protein thioesterase 1 (EC 3.1.2.22) (Palmitoyl-protein hydrolase 1)	PPT1	unreviewed
6018	Q13129	RLF_HUMAN	Zinc finger protein Rlf (Rearranged L-myc fusion gene protein) (Zn-15-related protein)	RLF	reviewed
127391	Q7Z6W1	TMCO2_HUMAN	Transmembrane and coiled-coil domain-containing protein 2	TMCO2	reviewed
127391	A0A140VKB8	A0A140VKB8_HUMAN	Testis tissue sperm-binding protein Li 35a (Transmembrane and coiled-coil domains 2)	TMCO2 hCG_1815122	unreviewed
10269	O75844	FACE1_HUMAN	CAAX prenyl protease 1 homolog (EC 3.4.24.84) (Farnesylated proteins-converting enzyme 1) (FACE-1) (Prenyl protein-specific endoprotease 1) (Zinc metalloproteinase Ste24 homolog)	ZMPSTE24 FACE1 STE24	reviewed
10269	A0A6Q8PHG9	A0A6Q8PHG9_HUMAN	CAAX prenyl protease (EC 3.4.24.84)	ZMPSTE24	unreviewed
1298	Q14055	CO9A2_HUMAN	Collagen alpha-2(IX) chain	COL9A2	reviewed
64744	Q8WU79	SMAP2_HUMAN	Stromal membrane-associated protein 2 (Stromal membrane-associated protein 1-like)	SMAP2 SMAP1L	reviewed
64744	A0A087WV97	A0A087WV97_HUMAN	Small ArfGAP2	SMAP2	unreviewed
65243	Q9UJL9	ZF69B_HUMAN	Zinc finger protein 69 homolog B (Zinc finger protein 643)	ZFP69B ZNF643	reviewed
339559	Q49AA0	ZFP69_HUMAN	Zinc finger protein 69 homolog (Zinc finger protein 642)	ZFP69 ZNF642	reviewed
64789	Q9H790	EXO5_HUMAN	Exonuclease V (Exo V) (hExo5) (EC 3.1.-.-) (Defects in morphology protein 1 homolog)	EXO5 C1orf176 DEM1	reviewed
127396	Q5T5D7	ZN684_HUMAN	Zinc finger protein 684	ZNF684	reviewed
127396	B3KSP5	B3KSP5_HUMAN	Zinc finger protein 684		unreviewed
9783	Q9UJD0	RIMS3_HUMAN	Regulating synaptic membrane exocytosis protein 3 (Nim3) (RIM3 gamma) (Rab-3-interacting molecule 3) (RIM 3)	RIMS3 KIAA0237	reviewed
4802	Q13952	NFYC_HUMAN	Nuclear transcription factor Y subunit gamma (CAAT box DNA-binding protein subunit C) (Nuclear transcription factor Y subunit C) (NF-YC) (Transactivator HSM-1/2)	NFYC	reviewed
9132	P56696	KCNQ4_HUMAN	Potassium voltage-gated channel subfamily KQT member 4 (KQT-like 4) (Potassium channel subunit alpha KvLQT4) (Voltage-gated potassium channel subunit Kv7.4)	KCNQ4	reviewed
9132	B3KQH8	B3KQH8_HUMAN	cDNA FLJ90476 fis, clone NT2RP3002737, highly similar to Potassium voltage-gated channel subfamily KQT member 4		unreviewed
163732	Q96RK1	CITE4_HUMAN	Cbp/p300-interacting transactivator 4 (MSG1-related protein 2) (MRG-2)	CITED4 MRG2	reviewed
1503	P17812	PYRG1_HUMAN	CTP synthase 1 (EC 6.3.4.2) (CTP synthetase 1) (UTP--ammonia ligase 1)	CTPS1 CTPS	reviewed
1503	A0A3B3IRQ8	A0A3B3IRQ8_HUMAN	CTP synthase (EC 6.3.4.2) (UTP--ammonia ligase)	CTPS1	unreviewed
1503	A0A3B3ITB8	A0A3B3ITB8_HUMAN	CTP synthase (glutamine hydrolyzing) (EC 6.3.4.2)	CTPS1	unreviewed
1503	B4E1E0	B4E1E0_HUMAN	CTP synthase (EC 6.3.4.2) (UTP--ammonia ligase)	CTPS1	unreviewed
200172	Q499Z3	SLNL1_HUMAN	Schlafen-like protein 1	SLFNL1	reviewed
22955	Q96GD3	SCMH1_HUMAN	Polycomb protein SCMH1 (Sex comb on midleg homolog 1)	SCMH1	reviewed
22955	A0A8Q3SHN2	A0A8Q3SHN2_HUMAN	Polycomb protein SCMH1 (Sex comb on midleg homolog 1)	SCMH1	unreviewed
22955	A0A8Q3SHR9	A0A8Q3SHR9_HUMAN	Polycomb protein SCMH1 (Sex comb on midleg homolog 1)	SCMH1	unreviewed
22955	B3KMZ7	B3KMZ7_HUMAN	Polycomb protein SCMH1 (Sex comb on midleg homolog 1)		unreviewed
22955	B4DWE6	B4DWE6_HUMAN	Scm polycomb group protein homolog 1 (cDNA FLJ60920, highly similar to Polycomb protein SCMH1)	SCMH1	unreviewed
100132074	A0A1X9RU27	A0A1X9RU27_HUMAN	Forkhead box O6 (Forkhead box protein O6)	FOXO6	unreviewed
59269	Q5T1R4	ZEP3_HUMAN	Transcription factor HIVEP3 (Human immunodeficiency virus type I enhancer-binding protein 3) (Kappa-B and V(D)J recombination signal sequences-binding protein) (Kappa-binding protein 1) (KBP-1) (Zinc finger protein ZAS3)	HIVEP3 KBP1 KIAA1555 KRC ZAS3	reviewed
