From	Entry	Reviewed	Protein names	Gene Names	Length	Entry Name
RCOR2	Q8IZ40	reviewed	REST corepressor 2	RCOR2	523	RCOR2_HUMAN
COX8A	P10176	reviewed	Cytochrome c oxidase subunit 8A, mitochondrial (Cytochrome c oxidase polypeptide VIII-liver/heart) (Cytochrome c oxidase subunit 8-2)	COX8A COX8 COX8L	69	COX8A_HUMAN
OTUB1	Q96FW1	reviewed	Ubiquitin thioesterase OTUB1 (EC 3.4.19.12) (Deubiquitinating enzyme OTUB1) (OTU domain-containing ubiquitin aldehyde-binding protein 1) (Otubain-1) (hOTU1) (Ubiquitin-specific-processing protease OTUB1)	OTUB1 OTB1 OTU1 HSPC263	271	OTUB1_HUMAN
MACROD1	Q9BQ69	reviewed	ADP-ribose glycohydrolase MACROD1 (MACRO domain-containing protein 1) (O-acetyl-ADP-ribose deacetylase MACROD1) (EC 3.1.1.106) (Protein LRP16) ([Protein ADP-ribosylaspartate] hydrolase MACROD1) (EC 3.2.2.-) ([Protein ADP-ribosylglutamate] hydrolase MACROD1) (EC 3.2.2.-)	MACROD1 LRP16	325	MACD1_HUMAN
FLRT1	Q9NZU1	reviewed	Leucine-rich repeat transmembrane protein FLRT1 (Fibronectin-like domain-containing leucine-rich transmembrane protein 1)	FLRT1 UNQ752/PRO1483	674	FLRT1_HUMAN
STIP1	P31948	reviewed	Stress-induced-phosphoprotein 1 (STI1) (Hsc70/Hsp90-organizing protein) (Hop) (Renal carcinoma antigen NY-REN-11) (Transformation-sensitive protein IEF SSP 3521)	STIP1	543	STIP1_HUMAN
FERMT3	Q86UX7	reviewed	Fermitin family homolog 3 (Kindlin-3) (MIG2-like protein) (Unc-112-related protein 2)	FERMT3 KIND3 MIG2B URP2	667	URP2_HUMAN
TRPT1	Q86TN4	reviewed	tRNA 2'-phosphotransferase 1 (EC 2.7.1.160)	TRPT1	253	TRPT1_HUMAN
NUDT22	Q9BRQ3	reviewed	Uridine diphosphate glucose pyrophosphatase NUDT22 (UDPG pyrophosphatase) (UGPPase) (EC 3.6.1.45) (Nucleoside diphosphate-linked moiety X motif 22) (Nudix motif 22)	NUDT22 PP11246	303	NUD22_HUMAN
DNAJC4	Q9NNZ3	reviewed	DnaJ homolog subfamily C member 4 (DnaJ-like protein HSPF2) (Multiple endocrine neoplasia type 1 candidate protein number 18)	DNAJC4 HSPF2 MCG18	241	DNJC4_HUMAN
VEGFB	P49765	reviewed	Vascular endothelial growth factor B (VEGF-B) (VEGF-related factor) (VRF)	VEGFB VRF	207	VEGFB_HUMAN
FKBP2	P26885	reviewed	Peptidyl-prolyl cis-trans isomerase FKBP2 (PPIase FKBP2) (EC 5.2.1.8) (13 kDa FK506-binding protein) (13 kDa FKBP) (FKBP-13) (FK506-binding protein 2) (FKBP-2) (Immunophilin FKBP13) (Rotamase)	FKBP2 FKBP13	142	FKBP2_HUMAN
PPP1R14B	Q96C90	reviewed	Protein phosphatase 1 regulatory subunit 14B (Phospholipase C-beta-3 neighbouring gene protein)	PPP1R14B PLCB3N PNG	147	PP14B_HUMAN
PLCB3	Q01970	reviewed	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3 (EC 3.1.4.11) (Phosphoinositide phospholipase C-beta-3) (Phospholipase C-beta-3) (PLC-beta-3)	PLCB3	1234	PLCB3_HUMAN
BAD	Q92934	reviewed	Bcl2-associated agonist of cell death (BAD) (Bcl-2-binding component 6) (Bcl-2-like protein 8) (Bcl2-L-8) (Bcl-xL/Bcl-2-associated death promoter) (Bcl2 antagonist of cell death)	BAD BBC6 BCL2L8	168	BAD_HUMAN
GPR137	Q96N19	reviewed	Integral membrane protein GPR137 (Transmembrane 7 superfamily member 1-like 1 protein)	GPR137 C11orf4 GPR137A TM7SF1L1	417	G137A_HUMAN
KCNK4	Q9NYG8	reviewed	Potassium channel subfamily K member 4 (TWIK-related arachidonic acid-stimulated potassium channel protein) (TRAAK) (Two pore potassium channel KT4.1) (K2P4.1) (Two pore K(+) channel KT4.1)	KCNK4 TRAAK	393	KCNK4_HUMAN
ESRRA	P11474	reviewed	Steroid hormone receptor ERR1 (Estrogen receptor-like 1) (Estrogen-related receptor alpha) (ERR-alpha) (Nuclear receptor subfamily 3 group B member 1)	ESRRA ERR1 ESRL1 NR3B1	423	ERR1_HUMAN
TRMT112	Q9UI30	reviewed	Multifunctional methyltransferase subunit TRM112-like protein (tRNA methyltransferase 112 homolog)	TRMT112 AD-001 HSPC152 HSPC170	125	TR112_HUMAN
PRDX5	P30044	reviewed	Peroxiredoxin-5, mitochondrial (EC 1.11.1.24) (Alu corepressor 1) (Antioxidant enzyme B166) (AOEB166) (Liver tissue 2D-page spot 71B) (PLP) (Peroxiredoxin V) (Prx-V) (Peroxisomal antioxidant enzyme) (TPx type VI) (Thioredoxin peroxidase PMP20) (Thioredoxin-dependent peroxiredoxin 5)	PRDX5 ACR1 SBBI10	214	PRDX5_HUMAN
CCDC88B	A6NC98	reviewed	Coiled-coil domain-containing protein 88B (Brain leucine zipper domain-containing protein) (Gipie) (Hook-related protein 3) (HkRP3)	CCDC88B BRLZ	1476	CC88B_HUMAN
RPS6KA4	O75676	reviewed	Ribosomal protein S6 kinase alpha-4 (S6K-alpha-4) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 4) (Nuclear mitogen- and stress-activated protein kinase 2) (Ribosomal protein kinase B) (RSKB)	RPS6KA4 MSK2	772	KS6A4_HUMAN
SLC22A11	Q9NSA0	reviewed	Solute carrier family 22 member 11 (Organic anion transporter 4) (OAT4) (Organic anion:dicarboxylate exchanger OAT4)	SLC22A11 OAT4	550	S22AB_HUMAN
SLC22A12	Q96S37	reviewed	Solute carrier family 22 member 12 (Organic anion transporter 4-like protein) (Renal-specific transporter) (RST) (Urate anion exchanger 1) (URAT1) (Urate:anion antiporter SLC22A12)	SLC22A12 OATL4 URAT1 UNQ6453/PRO34004	553	S22AC_HUMAN
NRXN2	P58401	reviewed	Neurexin-2-beta (Neurexin II-beta)	NRXN2	666	NRX2B_HUMAN
NRXN2	Q9P2S2	reviewed	Neurexin-2 (Neurexin II-alpha) (Neurexin-2-alpha)	NRXN2 KIAA0921	1712	NRX2A_HUMAN
RASGRP2	Q7LDG7	reviewed	RAS guanyl-releasing protein 2 (Calcium and DAG-regulated guanine nucleotide exchange factor I) (CalDAG-GEFI) (Cdc25-like protein) (hCDC25L) (F25B3.3 kinase-like protein)	RASGRP2 CDC25L MCG7	609	GRP2_HUMAN
PYGM	P11217	reviewed	Glycogen phosphorylase, muscle form (EC 2.4.1.1) (Myophosphorylase)	PYGM	842	PYGM_HUMAN
SF1	Q13285	reviewed	Steroidogenic factor 1 (SF-1) (STF-1) (hSF-1) (Adrenal 4-binding protein) (Fushi tarazu factor homolog 1) (Nuclear receptor subfamily 5 group A member 1) (Steroid hormone receptor Ad4BP)	NR5A1 AD4BP FTZF1 SF1	461	STF1_HUMAN
SF1	Q15637	reviewed	Splicing factor 1 (Mammalian branch point-binding protein) (BBP) (mBBP) (Transcription factor ZFM1) (Zinc finger gene in MEN1 locus) (Zinc finger protein 162)	SF1 ZFM1 ZNF162	639	SF01_HUMAN
MAP4K2	Q12851	reviewed	Mitogen-activated protein kinase kinase kinase kinase 2 (EC 2.7.11.1) (B lymphocyte serine/threonine-protein kinase) (Germinal center kinase) (GC kinase) (MAPK/ERK kinase kinase kinase 2) (MEK kinase kinase 2) (MEKKK 2) (Rab8-interacting protein)	MAP4K2 GCK RAB8IP	820	M4K2_HUMAN
MEN1	O00255	reviewed	Menin	MEN1 SCG2	610	MEN1_HUMAN
CDC42BPG	Q6DT37	reviewed	Serine/threonine-protein kinase MRCK gamma (EC 2.7.11.1) (CDC42-binding protein kinase gamma) (DMPK-like gamma) (Myotonic dystrophy kinase-related CDC42-binding kinase gamma) (MRCK gamma) (MRCKG) (Myotonic dystrophy protein kinase-like gamma) (Myotonic dystrophy protein kinase-like alpha)	CDC42BPG DMPK2	1551	MRCKG_HUMAN
EHD1	Q9H4M9	reviewed	EH domain-containing protein 1 (PAST homolog 1) (hPAST1) (Testilin)	EHD1 PAST PAST1 CDABP0131	534	EHD1_HUMAN
ATG2A	Q2TAZ0	reviewed	Autophagy-related protein 2 homolog A	ATG2A KIAA0404	1938	ATG2A_HUMAN
PPP2R5B	Q15173	reviewed	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit beta isoform (PP2A B subunit isoform B'-beta) (PP2A B subunit isoform B56-beta) (PP2A B subunit isoform PR61-beta) (PP2A B subunit isoform R5-beta)	PPP2R5B	497	2A5B_HUMAN
GPHA2	Q96T91	reviewed	Glycoprotein hormone alpha-2 (Putative secreted protein Zsig51) (Thyrostimulin subunit alpha)	GPHA2 GPA2 ZSIG51	129	GPHA2_HUMAN
MAJIN	Q3KP22	reviewed	Membrane-anchored junction protein	MAJIN C11orf85	176	MAJIN_HUMAN
BATF2	Q8N1L9	reviewed	Basic leucine zipper transcriptional factor ATF-like 2 (B-ATF-2) (Suppressor of AP-1 regulated by IFN) (SARI)	BATF2	274	BATF2_HUMAN
ARL2	P36404	reviewed	ADP-ribosylation factor-like protein 2	ARL2	184	ARL2_HUMAN
SNX15	Q9NRS6	reviewed	Sorting nexin-15	SNX15	342	SNX15_HUMAN
SAC3D1	A6NKF1	reviewed	SAC3 domain-containing protein 1 (SAC3 homology domain-containing protein 1)	SAC3D1 SHD1	404	SAC31_HUMAN
NAALADL1	Q9UQQ1	reviewed	Aminopeptidase NAALADL1 (EC 3.4.11.-) (100 kDa ileum brush border membrane protein) (I100) (Ileal dipeptidylpeptidase) (N-acetylated-alpha-linked acidic dipeptidase-like protein) (NAALADase L)	NAALADL1 NAALADASEL NAALADL	740	NALDL_HUMAN
CDCA5	Q96FF9	reviewed	Sororin (Cell division cycle-associated protein 5) (p35)	CDCA5	252	CDCA5_HUMAN
ZFPL1	O95159	reviewed	Zinc finger protein-like 1 (Zinc finger protein MCG4)	ZFPL1	310	ZFPL1_HUMAN
TMEM262	E9PQX1	reviewed	Cation channel sperm-associated auxiliary subunit TMEM262 (Cation channel sperm-associated auxiliary subunit eta) (Transmembrane protein 262)	TMEM262 CATSPERH	116	TM262_HUMAN
VPS51	Q9UID3	reviewed	Vacuolar protein sorting-associated protein 51 homolog (Another new gene 2 protein) (Protein fat-free homolog)	VPS51 ANG2 C11orf2 C11orf3 FFR PP5382	782	VPS51_HUMAN
TM7SF2	O76062	reviewed	Delta(14)-sterol reductase TM7SF2 (Delta-14-SR) (EC 1.3.1.70) (3-beta-hydroxysterol Delta (14)-reductase) (Another new gene 1 protein) (C-14 sterol reductase) (C14SR) (Putative sterol reductase SR-1) (Sterol C14-reductase) (Transmembrane 7 superfamily member 2)	TM7SF2 ANG1	418	ERG24_HUMAN
ZNHIT2	Q9UHR6	reviewed	Zinc finger HIT domain-containing protein 2 (Protein FON)	ZNHIT2 C11orf5	403	ZNHI2_HUMAN
FAU	P62861	reviewed	Ubiquitin-like FUBI-ribosomal protein eS30 fusion protein (FAU ubiquitin like and ribosomal protein S30 fusion) [Cleaved into: Ubiquitin-like protein FUBI; Small ribosomal subunit protein eS30 (40S ribosomal protein S30)]	FAU	133	RS30_HUMAN
MRPL49	Q13405	reviewed	Large ribosomal subunit protein mL49 (39S ribosomal protein L49, mitochondrial) (L49mt) (MRP-L49) (Neighbor of FAU) (NOF) (Protein NOF1)	MRPL49 C11orf4 NOF1 OK/SW-cl.67	166	RM49_HUMAN
SYVN1	Q86TM6	reviewed	E3 ubiquitin-protein ligase synoviolin (EC 2.3.2.27) (RING-type E3 ubiquitin transferase synoviolin) (Synovial apoptosis inhibitor 1)	SYVN1 HRD1 KIAA1810	617	SYVN1_HUMAN
SPDYC	Q5MJ68	reviewed	Speedy protein C (Rapid inducer of G2/M progression in oocytes C) (RINGO C) (hSpy/Ringo C)	SPDYC	274	SPDYC_HUMAN
CAPN1	P07384	reviewed	Calpain-1 catalytic subunit (EC 3.4.22.52) (Calcium-activated neutral proteinase 1) (CANP 1) (Calpain mu-type) (Calpain-1 large subunit) (Cell proliferation-inducing gene 30 protein) (Micromolar-calpain) (muCANP)	CAPN1 CANPL1 PIG30	714	CAN1_HUMAN
POLA2	Q14181	reviewed	DNA polymerase alpha subunit B (DNA polymerase alpha 70 kDa subunit)	POLA2	598	DPOA2_HUMAN
DPF2	Q92785	reviewed	Zinc finger protein ubi-d4 (Apoptosis response zinc finger protein) (BRG1-associated factor 45D) (BAF45D) (D4, zinc and double PHD fingers family 2) (Protein requiem)	DPF2 BAF45D REQ UBID4	391	REQU_HUMAN
TIGD3	Q6B0B8	reviewed	Tigger transposable element-derived protein 3	TIGD3	471	TIGD3_HUMAN
SLC25A45	Q8N413	reviewed	Solute carrier family 25 member 45	SLC25A45	288	S2545_HUMAN
FRMD8	Q9BZ67	reviewed	FERM domain-containing protein 8 (Band4.1 inhibitor LRP interactor) (Bili) (iRhom tail-associated protein) (iTAP)	FRMD8 FKSG44	464	FRMD8_HUMAN
SCYL1	Q96KG9	reviewed	N-terminal kinase-like protein (Coated vesicle-associated kinase of 90 kDa) (SCY1-like protein 1) (Telomerase regulation-associated protein) (Telomerase transcriptional element-interacting factor) (Teratoma-associated tyrosine kinase)	SCYL1 CVAK90 GKLP NTKL TAPK TEIF TRAP HT019	808	SCYL1_HUMAN
LTBP3	Q14767	reviewed	Latent-transforming growth factor beta-binding protein 2 (LTBP-2)	LTBP2 C14orf141 LTBP3	1821	LTBP2_HUMAN
LTBP3	Q9NS15	reviewed	Latent-transforming growth factor beta-binding protein 3 (LTBP-3)	LTBP3	1303	LTBP3_HUMAN
ZNRD2	O60232	reviewed	Protein ZNRD2 (Autoantigen p27) (Protein zinc ribbon domain type 2) (Sjoegren syndrome/scleroderma autoantigen 1) (Zinc ribbon domain-containing protein 2)	ZNRD2 SSSCA1	199	ZNRD2_HUMAN
EHBP1L1	Q8N3D4	reviewed	EH domain-binding protein 1-like protein 1	EHBP1L1	1523	EH1L1_HUMAN
KCNK7	Q9Y2U2	reviewed	Potassium channel subfamily K member 7	KCNK7	307	KCNK7_HUMAN
MAP3K11	Q16584	reviewed	Mitogen-activated protein kinase kinase kinase 11 (EC 2.7.11.25) (Mixed lineage kinase 3) (Src-homology 3 domain-containing proline-rich kinase)	MAP3K11 MLK3 PTK1 SPRK	847	M3K11_HUMAN
PCNX3	Q9H6A9	reviewed	Pecanex-like protein 3 (Pecanex homolog protein 3)	PCNX3 PCNXL3	2034	PCX3_HUMAN
SIPA1	Q96FS4	reviewed	Signal-induced proliferation-associated protein 1 (Sipa-1) (GTPase-activating protein Spa-1) (p130 SPA-1)	SIPA1 SPA1	1042	SIPA1_HUMAN
RELA	Q04206	reviewed	Transcription factor p65 (Nuclear factor NF-kappa-B p65 subunit) (Nuclear factor of kappa light polypeptide gene enhancer in B-cells 3)	RELA NFKB3	551	TF65_HUMAN
KAT5	Q92993	reviewed	Histone acetyltransferase KAT5 (EC 2.3.1.48) (60 kDa Tat-interactive protein) (Tip60) (Histone acetyltransferase HTATIP) (HIV-1 Tat interactive protein) (Lysine acetyltransferase 5) (Protein 2-hydroxyisobutyryltransferase KAT5) (EC 2.3.1.-) (Protein acetyltransferase KAT5) (EC 2.3.1.-) (Protein crotonyltransferase KAT5) (EC 2.3.1.-) (Protein lactyltransferase KAT5) (EC 2.3.1.-) (cPLA(2)-interacting protein)	KAT5 HTATIP TIP60	513	KAT5_HUMAN
RNASEH2C	Q8TDP1	reviewed	Ribonuclease H2 subunit C (RNase H2 subunit C) (Aicardi-Goutieres syndrome 3 protein) (AGS3) (RNase H1 small subunit) (Ribonuclease HI subunit C)	RNASEH2C AYP1	164	RNH2C_HUMAN
AP5B1	Q2VPB7	reviewed	AP-5 complex subunit beta-1 (Adaptor-related protein complex 5 beta subunit) (Beta5)	AP5B1 PP1030	878	AP5B1_HUMAN
OVOL1	O14753	reviewed	Putative transcription factor Ovo-like 1 (hOvo1)	OVOL1	267	OVOL1_HUMAN
SNX32	Q86XE0	reviewed	Sorting nexin-32 (Sorting nexin-6B)	SNX32 SNX6B	403	SNX32_HUMAN
CFL1	P23528	reviewed	Cofilin-1 (18 kDa phosphoprotein) (p18) (Cofilin, non-muscle isoform)	CFL1 CFL	166	COF1_HUMAN
MUS81	Q96NY9	reviewed	Structure-specific endonuclease subunit MUS81 (EC 3.1.22.-) (Crossover junction endonuclease MUS81) (MUS81 endonuclease homolog)	MUS81	551	MUS81_HUMAN
EFEMP2	O95967	reviewed	EGF-containing fibulin-like extracellular matrix protein 2 (Fibulin-4) (FIBL-4) (Protein UPH1)	EFEMP2 FBLN4 UNQ200/PRO226	443	FBLN4_HUMAN
CTSW	P56202	reviewed	Cathepsin W (EC 3.4.22.-) (Lymphopain)	CTSW	376	CATW_HUMAN
FIBP	O43427	reviewed	Acidic fibroblast growth factor intracellular-binding protein (aFGF intracellular-binding protein) (FGF-1 intracellular-binding protein)	FIBP	364	FIBP_HUMAN
CCDC85B	Q15834	reviewed	Coiled-coil domain-containing protein 85B (Hepatitis delta antigen-interacting protein A) (Delta-interacting protein A)	CCDC85B DIPA	202	CC85B_HUMAN
FOSL1	P15407	reviewed	Fos-related antigen 1 (FRA-1)	FOSL1 FRA1	271	FOSL1_HUMAN
C11orf68	Q9H3H3	reviewed	UPF0696 protein C11orf68 (Basophilic leukemia-expressed protein Bles03) (Protein p5326)	C11orf68 BLES03	292	CK068_HUMAN
DRAP1	Q14919	reviewed	Dr1-associated corepressor (Dr1-associated protein 1) (Negative cofactor 2-alpha) (NC2-alpha)	DRAP1	205	NC2A_HUMAN
TSGA10IP	Q3SY00	reviewed	Testis-specific protein 10-interacting protein (Tsga10-interacting protein)	TSGA10IP	556	T10IP_HUMAN
SART1	O43290	reviewed	U4/U6.U5 tri-snRNP-associated protein 1 (SNU66 homolog) (hSnu66) (Squamous cell carcinoma antigen recognized by T-cells 1) (SART-1) (hSART-1) (U4/U6.U5 tri-snRNP-associated 110 kDa protein) (allergen Hom s 1)	SART1	800	SNUT1_HUMAN
EIF1AD	Q8N9N8	reviewed	Probable RNA-binding protein EIF1AD (Eukaryotic translation initiation factor 1A domain-containing protein) (Haponin)	EIF1AD	165	EIF1A_HUMAN
CST6	P04080	reviewed	Cystatin-B (CPI-B) (Liver thiol proteinase inhibitor) (Stefin-B)	CSTB CST6 STFB	98	CYTB_HUMAN
CST6	Q15828	reviewed	Cystatin-M (Cystatin-6) (Cystatin-E)	CST6	149	CYTM_HUMAN
CATSPER1	Q8NEC5	reviewed	Cation channel sperm-associated protein 1 (CatSper1) (hCatSper)	CATSPER1	780	CTSR1_HUMAN
GAL3ST3	Q96A11	reviewed	Galactose-3-O-sulfotransferase 3 (Gal3ST-3) (EC 2.8.2.-) (Beta-galactose-3-O-sulfotransferase 3) (Gal3ST3) (Gal-beta-1, 3-GalNAc 3'-sulfotransferase 3)	GAL3ST3	431	G3ST3_HUMAN
SF3B2	Q13435	reviewed	Splicing factor 3B subunit 2 (Pre-mRNA-splicing factor SF3b 145 kDa subunit) (SF3b145) (Spliceosome-associated protein 145) (SAP 145)	SF3B2 SAP145	895	SF3B2_HUMAN
PACS1	Q6VY07	reviewed	Phosphofurin acidic cluster sorting protein 1 (PACS-1)	PACS1 KIAA1175	963	PACS1_HUMAN
KLC2	Q6P597	reviewed	Kinesin light chain 3 (KLC2-like) (kinesin light chain 2)	KLC3 KLC2 KLC2L	504	KLC3_HUMAN
KLC2	Q9H0B6	reviewed	Kinesin light chain 2 (KLC 2)	KLC2	622	KLC2_HUMAN
RAB1B	Q9H0U4	reviewed	Ras-related protein Rab-1B (EC 3.6.5.2)	RAB1B	201	RAB1B_HUMAN
YIF1A	O95070	reviewed	Protein YIF1A (54TMp) (YIP1-interacting factor homolog A)	YIF1A 54TM HYIF1P YIF1	293	YIF1A_HUMAN
TMEM151A	Q8N4L1	reviewed	Transmembrane protein 151A	TMEM151A TMEM151	468	T151A_HUMAN
CD248	Q9HCU0	reviewed	Endosialin (Tumor endothelial marker 1) (CD antigen CD248)	CD248 CD164L1 TEM1	757	CD248_HUMAN
RIN1	Q13671	reviewed	Ras and Rab interactor 1 (Ras inhibitor JC99) (Ras interaction/interference protein 1)	RIN1	783	RIN1_HUMAN
BRMS1	Q9HCU9	reviewed	Breast cancer metastasis-suppressor 1	BRMS1	246	BRMS1_HUMAN
B4GAT1	O43505	reviewed	Beta-1,4-glucuronyltransferase 1 (EC 2.4.1.-) (I-beta-1,3-N-acetylglucosaminyltransferase) (iGnT) (N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase) (Poly-N-acetyllactosamine extension enzyme) (UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 1)	B4GAT1 B3GNT1 B3GNT6	415	B4GA1_HUMAN
SLC29A2	Q14542	reviewed	Equilibrative nucleoside transporter 2 (hENT2) (36 kDa nucleolar protein HNP36) (Delayed-early response protein 12) (Equilibrative nitrobenzylmercaptopurine riboside-insensitive nucleoside transporter) (Equilibrative NBMPR-insensitive nucleoside transporter) (Hydrophobic nucleolar protein, 36 kDa) (Nucleoside transporter, ei-type) (Solute carrier family 29 member 2)	SLC29A2 DER12 ENT2 HNP36	456	S29A2_HUMAN
NPAS4	Q8IUM7	reviewed	Neuronal PAS domain-containing protein 4 (Neuronal PAS4) (Class E basic helix-loop-helix protein 79) (bHLHe79) (HLH-PAS transcription factor NXF) (PAS domain-containing protein 10)	NPAS4 BHLHE79 NXF PASD10	802	NPAS4_HUMAN
MRPL11	Q9Y3B7	reviewed	Large ribosomal subunit protein uL11m (39S ribosomal protein L11, mitochondrial) (L11mt) (MRP-L11)	MRPL11 CGI-113	192	RM11_HUMAN
PELI3	Q8N2H9	reviewed	E3 ubiquitin-protein ligase pellino homolog 3 (Pellino-3) (EC 2.3.2.27)	PELI3	469	PELI3_HUMAN
DPP3	Q9NY33	reviewed	Dipeptidyl peptidase 3 (EC 3.4.14.4) (Dipeptidyl aminopeptidase III) (Dipeptidyl arylamidase III) (Dipeptidyl peptidase III) (DPP III) (Enkephalinase B)	DPP3	737	DPP3_HUMAN
BBS1	Q8NFJ9	reviewed	BBSome complex member BBS1 (BBS2-like protein 2) (Bardet-Biedl syndrome 1 protein)	BBS1 BBS2L2	593	BBS1_HUMAN
ZDHHC24	Q6UX98	reviewed	Probable palmitoyltransferase ZDHHC24 (EC 2.3.1.225) (Zinc finger DHHC domain-containing protein 24)	ZDHHC24 UNQ2528/PRO6027	284	ZDH24_HUMAN
ACTN3	Q08043	reviewed	Alpha-actinin-3 (Alpha-actinin skeletal muscle isoform 3) (F-actin cross-linking protein)	ACTN3	901	ACTN3_HUMAN
CTSF	Q9UBX1	reviewed	Cathepsin F (CATSF) (EC 3.4.22.41)	CTSF	484	CATF_HUMAN
CCDC87	Q9NVE4	reviewed	Coiled-coil domain-containing protein 87	CCDC87	849	CCD87_HUMAN
CCS	O14618	reviewed	Copper chaperone for superoxide dismutase (Superoxide dismutase copper chaperone)	CCS	274	CCS_HUMAN
RBM14	Q96PK6	reviewed	RNA-binding protein 14 (Paraspeckle protein 2) (PSP2) (RNA-binding motif protein 14) (RRM-containing coactivator activator/modulator) (Synaptotagmin-interacting protein) (SYT-interacting protein)	RBM14 SIP	669	RBM14_HUMAN
RBM4	Q9BWF3	reviewed	RNA-binding protein 4 (Lark homolog) (hLark) (RNA-binding motif protein 4) (RNA-binding motif protein 4a)	RBM4 RBM4A	364	RBM4_HUMAN
RBM4B	Q9BQ04	reviewed	RNA-binding protein 4B (RNA-binding motif protein 30) (RNA-binding motif protein 4B) (RNA-binding protein 30)	RBM4B RBM30	359	RBM4B_HUMAN
SPTBN2	O15020	reviewed	Spectrin beta chain, non-erythrocytic 2 (Beta-III spectrin) (Spinocerebellar ataxia 5 protein)	SPTBN2 KIAA0302 SCA5	2390	SPTN2_HUMAN
TOP6BL	Q8N6T0	reviewed	Type 2 DNA topoisomerase 6 subunit B-like (TOP6B like initiator of meiotic double strand breaks) (Type 2 DNA topoisomerase VI subunit B-like) (TOPOVIBL)	TOP6BL C11orf80	511	TO6BL_HUMAN
RCE1	Q9Y256	reviewed	CAAX prenyl protease 2 (EC 3.4.26.1) (Farnesylated proteins-converting enzyme 2) (FACE-2) (Prenyl protein-specific endoprotease 2) (RCE1 homolog) (hRCE1)	RCE1 FACE2 RCE1A RCE1B	329	FACE2_HUMAN
PC	P11498	reviewed	Pyruvate carboxylase, mitochondrial (EC 6.4.1.1) (Pyruvic carboxylase) (PCB)	PC	1178	PYC_HUMAN
LRFN4	Q6PJG9	reviewed	Leucine-rich repeat and fibronectin type-III domain-containing protein 4	LRFN4 SALM3	635	LRFN4_HUMAN
C11orf86	A6NJI1	reviewed	Uncharacterized protein C11orf86	C11orf86	115	CK086_HUMAN
SYT12	Q8IV01	reviewed	Synaptotagmin-12 (Synaptotagmin XII) (SytXII)	SYT12	421	SYT12_HUMAN
RHOD	O00212	reviewed	Rho-related GTP-binding protein RhoD (Rho-related protein HP1) (RhoHP1)	RHOD ARHD	210	RHOD_HUMAN
KDM2A	Q9Y2K7	reviewed	Lysine-specific demethylase 2A (EC 1.14.11.27) (CXXC-type zinc finger protein 8) (F-box and leucine-rich repeat protein 11) (F-box protein FBL7) (F-box protein Lilina) (F-box/LRR-repeat protein 11) (JmjC domain-containing histone demethylation protein 1A) ([Histone-H3]-lysine-36 demethylase 1A)	KDM2A CXXC8 FBL11 FBL7 FBXL11 JHDM1A KIAA1004	1162	KDM2A_HUMAN
GRK2	P25098	reviewed	Beta-adrenergic receptor kinase 1 (Beta-ARK-1) (EC 2.7.11.15) (G-protein coupled receptor kinase 2)	GRK2 ADRBK1 BARK BARK1	689	ARBK1_HUMAN
ANKRD13D	Q6ZTN6	reviewed	Ankyrin repeat domain-containing protein 13D	ANKRD13D	605	AN13D_HUMAN
SSH3	Q8TE77	reviewed	Protein phosphatase Slingshot homolog 3 (EC 3.1.3.16) (EC 3.1.3.48) (SSH-like protein 3) (SSH-3L) (hSSH-3L)	SSH3 SSH3L	659	SSH3_HUMAN
POLD4	Q9HCU8	reviewed	DNA polymerase delta subunit 4 (DNA polymerase delta subunit p12)	POLD4 POLDS	107	DPOD4_HUMAN
POLD4	Q9Y2S7	reviewed	Polymerase delta-interacting protein 2 (38 kDa DNA polymerase delta interaction protein) (p38)	POLDIP2 PDIP38 POLD4 HSPC017	368	PDIP2_HUMAN
CLCF1	Q9UBD9	reviewed	Cardiotrophin-like cytokine factor 1 (B-cell-stimulating factor 3) (BSF-3) (Novel neurotrophin-1) (NNT-1)	CLCF1 BSF3 CLC NNT1	225	CLCF1_HUMAN
RAD9A	Q99638	reviewed	Cell cycle checkpoint control protein RAD9A (hRAD9) (EC 3.1.11.2) (DNA repair exonuclease rad9 homolog A)	RAD9A	391	RAD9A_HUMAN
PPP1CA	P62136	reviewed	Serine/threonine-protein phosphatase PP1-alpha catalytic subunit (PP-1A) (EC 3.1.3.16)	PPP1CA PPP1A	330	PP1A_HUMAN
TBC1D10C	Q8IV04	reviewed	Carabin (TBC1 domain family member 10C)	TBC1D10C	446	TB10C_HUMAN
CARNS1	A5YM72	reviewed	Carnosine synthase 1 (EC 6.3.2.11) (ATP-grasp domain-containing protein 1)	CARNS1 ATPGD1 KIAA1394	827	CRNS1_HUMAN
